dependent_feature,independent_feature,beta,t_statistic,p,n,CHEMICAL_ID,SUB_PATHWAY,SUPER_PATHWAY,BIOCHEMICAL_NAME,CAS,KEGG,HMDB,PUBCHEM,q
sleep_minutesAsleep,metabolite_182,0.021261897066415694,0.7256980766313947,0.46810524867615,2092.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.7253547001893574
sleep_restlessDuration,metabolite_182,0.04634691186999962,1.1974304948095618,0.2312833769092779,1968.0,182,Nicotinate and Nicotinamide Metabolism,Cofactors and Vitamins,quinolinate,89-00-9,C03722,HMDB00232,1066.0,0.5180824481099023
sleep_awakeDuration,metabolite_189,-0.07481230373190272,-1.6950316174973064,0.09022084723356873,2061.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.31524865127700685
sleep_awakeningsCount,metabolite_189,0.00409052028478883,0.07753809834473957,0.9382023909050263,2251.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.9783671444435135
sleep_efficiency,metabolite_189,-0.001772738364046715,-1.4715164995046521,0.14129865740325054,2143.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.40427966485921113
sleep_minutesAfterWakeup,metabolite_189,0.08429464361229966,1.6931826294812886,0.09058233878059205,1932.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.3158378379977463
sleep_minutesAsleep,metabolite_189,-0.0018931964610207916,-0.06047076196188984,0.9517862093051379,2199.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.9828386882629018
sleep_restlessDuration,metabolite_189,0.02925249894601366,0.7205191477599656,0.47128700598188056,2069.0,189,Lysine Metabolism,Amino Acid,"N6,N6,N6-trimethyllysine",23284-33-5,C03793,HMDB01325,440120.0,0.7279845676592966
sleep_awakeDuration,metabolite_192,0.12663314568898004,1.9435129247418796,0.052090575799112714,2060.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.22972605114820685
sleep_awakeningsCount,metabolite_192,-0.021586476529140492,-0.28249157429312877,0.7775925664778501,2257.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.9055537072480104
sleep_efficiency,metabolite_192,-0.000800587638654298,-0.4479445827816122,0.6542385768814303,2143.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.8454630770719777
sleep_minutesAfterWakeup,metabolite_192,0.03494766515678906,0.4704976138757767,0.638052648259529,1937.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.8373858843581264
sleep_minutesAsleep,metabolite_192,0.059767806882897595,1.3012523042991815,0.1933084881640992,2203.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.47874471311163963
sleep_restlessDuration,metabolite_192,0.06646242229952208,1.1068716857097185,0.2684783923468887,2069.0,192,Polyamine Metabolism,Amino Acid,N-acetylputrescine,18233-70-0,C02714,HMDB02064,122356.0,0.5517802334024349
sleep_awakeDuration,metabolite_194,-0.07410761773849292,-0.8017997380775644,0.4227605760010307,2081.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.6948251747840888
sleep_awakeningsCount,metabolite_194,-0.0882555671484225,-0.8124518346491163,0.41661749434803963,2278.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.6912441601086822
sleep_efficiency,metabolite_194,0.000152468367519875,0.06055771458124032,0.9517170373095929,2171.0,194,"Methionine, Cysteine, SAM and Taurine Metabolism",Amino Acid,N-formylmethionine,4289-98-9,C03145,HMDB01015,439750.0,0.9828386882629018
